Fiscal Year,Original Split Net Total,New Split Net Total,Percent Change
2012,200294.95,139887.3,-0.30159347502271033
2013,215126.266,184051.67799999999,-0.1444481354034194
2014,176251.228,179330.178,0.017469098144382925
2015,233845.744,208298.318,-0.10924905265755021
2016,263233.168,203871.278,-0.22551067728668606
2017,218575.11000000002,219202.87,0.0028720562007265153
2018,209710.82,180724.61000000002,-0.13821990682216584
2019,158477.93,152183.43,-0.039718464268179175
2020,79779.83,73017.43,-0.08476327913960219
2021,52229.98,53562.78,0.025517911360486745
2022,77694.01,78307.21,0.007892500335611608
2023,203270.65,160437.25,-0.21072102637542603
2024,22736.0,22736.0,0.0
